parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,rain,5621,5625,5628,5635,5637,5643,5678,5679,5686,5690,5693,5697,5703,5728,7128,7156,7157,max,coef,noppt,lin,cap,n,sublim,trncf,radmax,adj,sq,thresh,frac,exp,rate,allsnow
adjmix_rain:hru_5625:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5625:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5625:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5628:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5635:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5637:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5643:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5678:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5679:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5686:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5690:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5693:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_7,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_8,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5697:mon_9,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_1,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_10,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_11,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_12,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_2,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_3,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_4,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_5,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_5703:mon_6,log,factor,0.668501,0.6,1.4,pargp,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
